opstina,mesto,ulica,cena,povrsina,cena_po_m2,broj_soba,stanje,sprat,grejanje,uknjizenost,parking_garaza,Lift,Terasa,Lodja,Tavan,Podrum,namesten,godina_izgradnje,X,Y
Vracar,Crveni Krst Vracar,Sazonova,80400,33,2436,1.5,NA,3,Centralno,Uknjizba u toku,1,1,1,0,0,0,NA,2020,44.7959,20.48261
Vracar,Crveni Krst Vracar,Grocanska,80000,40,2000,1.5,NA,3,Centralno,Uknjizba u toku,1,1,1,0,0,0,NA,2020,44.79297,20.49256
Vracar,Neimar,Hadzi Melentijeva,80000,43,1860,1.5,NA,Prizemlje,Podno,Uknjizeno,0,NA,NA,NA,NA,NA,NA,NA,44.79408,20.47254
Stari Grad,Donji Dorcol,Donji Dorcol,79900,56,1427,1.5,NA,3,Centralno,NA,0,1,1,0,0,0,NA,2007,44.81311,20.46329
Savski Venac,Dedinje,Mihaila Avramovica ,79500,40,1988,1.5,NA,1,Struja,Uknjizeno,0,0,0,1,0,0,NA,2017,44.76872,20.45753
Zvezdara,Zvezdara,Dimitrija Tucovica,79500,40,1988,1.5,NA,3,Centralno,NA,0,1,1,0,0,0,NA,2017,44.80214,20.49086
Novi Beograd,Studentski Grad,Bulevar Zorana Ðindica,79500,46,1728,1.5,NA,6,Centralno,Uknjizeno,1,1,0,0,0,0,NA,1966,44.81553,20.42229
Vracar,Slavija,Makenzijeva,78000,32,2438,1.5,NA,4,NA,Uknjizeno,0,0,1,0,0,0,Prazno,NA,44.80054,20.47044
Novi Beograd,Bezanijska Kosa,Partizanske avijacije,78000,40,1950,1.5,NA,NA,Centralno,Uknjizeno,0,NA,NA,NA,NA,NA,NA,NA,44.82126,20.38744
Zemun,Sava Kovacevic,Prvomajska,78000,41,1902,1.5,NA,7,Centralno,Uknjizeno,0,1,0,1,0,1,Prazno,NA,44.84202,20.38492
Cukarica,Cerak Vinogradi,Cerova,78000,58,1345,1.5,NA,3,Centralno,Uknjizeno,0,1,1,1,0,0,NA,NA,44.74627,20.42453
Cukarica,Filmski Grad,Slobodana Aligrudica,78000,66,1182,1.5,NA,NA,Centralno,Nije uknjizeno,0,1,0,1,0,1,NA,1993,44.74855,20.42765
Vozdovac,Autokomanda,Trise Kaclerovica,77000,38,2026,1.5,NA,7,Centralno,Uknjizeno,0,1,0,0,0,0,Prazno,NA,44.78648,20.46995
Novi Beograd,Blok 70,Jurija Gagarina,77000,48,1604,1.5,NA,9,Centralno,Uknjizeno,1,1,0,0,0,1,NA,NA,44.80407,20.37989
Zvezdara,Vukov Spomenik,Bulevar kralja Aleksandra,75000,31,2419,1.5,NA,Prizemlje,Centralno,Uknjizeno,0,0,0,0,0,1,NA,1936,44.79757,20.49406
Zvezdara,Vukov Spomenik,Bulevar kralja Aleksandra,75000,31,2419,1.5,NA,NA,Centralno,Uknjizeno,0,0,1,0,0,0,NA,NA,44.79757,20.49406
Vozdovac,Sumice,ljermontova,75000,47,1596,1.5,NA,2,Centralno,Uknjizeno,0,2,0,1,0,0,NA,NA,44.78301,20.49093
Zemun,,Nikole Tesle,74900,42,1783,1.5,NA,NA,Struja,Uknjizeno,0,0,0,0,0,1,Prazno,NA,44.82981,20.42099
Zvezdara,Mirijevo,Rableova,74600,57,1309,1.5,NA,3,Etazno,Nije uknjizeno,0,0,1,0,0,0,Prazno,2018,44.78866,20.53245
Zvezdara,Cvetkova Pijaca,Brace Miladinov,74500,37,2014,1.5,NA,2,Centralno,Uknjizeno,0,1,0,0,0,0,NA,2008,44.79148,20.50229
